case,run,sample,ns,pairs,contacts,compression_m,reserved_bytes
warm_1,0,373,91292,320,320,0.686614,628040
warm_1,0,374,90000,320,320,0.686715,628040
warm_1,0,375,90709,320,320,0.686815,628040
warm_1,0,376,90500,320,320,0.686916,628040
warm_1,0,377,91583,320,320,0.687016,628040
warm_1,0,378,90666,320,320,0.687118,628040
warm_1,0,379,91375,320,320,0.687219,628040
warm_1,0,380,90959,320,320,0.68732,628040
warm_1,0,381,90708,320,320,0.687421,628040
warm_1,0,382,90417,320,320,0.687523,628040
warm_1,0,383,90750,320,320,0.687625,628040
warm_1,0,384,91459,320,320,0.687727,628040
warm_1,0,385,90625,320,320,0.687828,628040
warm_1,0,386,91250,320,320,0.68793,628040
warm_1,0,387,90958,320,320,0.688031,628040
warm_1,0,388,92000,320,320,0.688132,628040
warm_1,0,389,90750,320,320,0.688233,628040
warm_1,0,390,90375,320,320,0.688334,628040
warm_1,0,391,90500,320,320,0.688434,628040
warm_1,0,392,90667,320,320,0.688533,628040
warm_1,0,393,91541,320,320,0.688631,628040
warm_1,0,394,90625,320,320,0.688729,628040
warm_1,0,395,90875,320,320,0.688826,628040
warm_1,0,396,90292,320,320,0.688922,628040
warm_1,0,397,93792,320,320,0.689016,628040
warm_1,0,398,90958,320,320,0.689111,628040
warm_1,0,399,91209,320,320,0.689203,628040
warm_1,0,400,91250,320,320,0.689295,628040
warm_1,0,401,93667,320,320,0.689385,628040
warm_1,0,402,94791,320,320,0.689475,628040
warm_1,0,403,90916,320,320,0.689565,628040
warm_1,0,404,93333,320,320,0.689652,628040
warm_1,0,405,92041,320,320,0.68974,628040
warm_1,0,406,94833,320,320,0.689827,628040
warm_1,0,407,93333,320,320,0.689913,628040
warm_1,0,408,90500,320,320,0.689998,628040
warm_1,0,409,90834,320,320,0.690083,628040
warm_1,0,410,99625,320,320,0.690166,628040
warm_1,0,411,91416,320,320,0.69025,628040
warm_1,0,412,91458,320,320,0.690334,628040
warm_1,0,413,93875,320,320,0.690418,628040
warm_1,0,414,95458,320,320,0.690501,628040
warm_1,0,415,91125,320,320,0.690584,628040
warm_1,0,416,95917,320,320,0.690668,628040
warm_1,0,417,99000,320,320,0.690751,628040
warm_1,0,418,91917,320,320,0.690835,628040
warm_1,0,419,100917,320,320,0.690918,628040
